,coverage,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,coverage_by_name/experiments.numeric.fn_counters,config/dropout,config/hidden_size,config/l1_reg,config/l2_reg,config/num_layers,config/opt_batch_per_epoch,config/supervised_batch_size,config/supervised_learning_rate,config/target_rollouts_per_epoch,logdir
0,0.6,1572.0014941692352,False,,,1,012448c9,2184f357db5b4645a5d964db830eba8a,2023-07-11_16-31-25,1689093085,1572.0014941692352,62716,1465bae07e22,172.17.0.2,1572.0014941692352,0,1,0.0028772354125976,0.6,0.25,12,0.0,0.0005103442833155879,2,79,80,0.00013150519174793087,10,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_012448c9_18_dropout=0.2500,hidden_size=12,l1_reg=0.0000,l2_reg=0.0005,num_layers=2,opt_batch_per_epoch=79,supervised_2023-07-11_16-05-13"
1,0.325,1313.8620607852936,False,,,1,06db7d5c,2184f357db5b4645a5d964db830eba8a,2023-07-11_17-36-38,1689096998,1313.8620607852936,62716,1465bae07e22,172.17.0.2,1313.8620607852936,0,1,0.0028772354125976,0.325,0.25,13,0.0,0.009478062844429203,2,142,127,0.0027360521725276095,6,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_06db7d5c_24_dropout=0.2500,hidden_size=13,l1_reg=0.0000,l2_reg=0.0095,num_layers=2,opt_batch_per_epoch=142,supervise_2023-07-11_17-14-44"
2,0.375,1306.41073346138,False,,,1,0740f93a,2184f357db5b4645a5d964db830eba8a,2023-07-11_21-00-50,1689109250,1306.41073346138,62716,1465bae07e22,172.17.0.2,1306.41073346138,0,1,0.0028772354125976,0.375,0.1,15,0.0,0.0009633592676614691,2,190,115,0.0009481750905704468,5,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_0740f93a_42_dropout=0.1000,hidden_size=15,l1_reg=0.0000,l2_reg=0.0010,num_layers=2,opt_batch_per_epoch=190,supervise_2023-07-11_20-39-04"
3,0.225,1282.2900829315186,False,,,1,098ad746,b67513bb1e354d558911b5518951eb83,2023-07-11_17-08-32,1689095312,1282.2900829315186,62614,1465bae07e22,172.17.0.2,1282.2900829315186,0,1,0.0025944709777832,0.225,0.25,14,0.0,0.0002573645689038062,2,150,124,0.00848883393309028,5,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_098ad746_21_dropout=0.2500,hidden_size=14,l1_reg=0.0000,l2_reg=0.0003,num_layers=2,opt_batch_per_epoch=150,supervise_2023-07-11_16-47-09"
4,0.425,1125.9213869571686,False,,,1,0d3aaced,b67513bb1e354d558911b5518951eb83,2023-07-11_14-40-53,1689086453,1125.9213869571686,62614,1465bae07e22,172.17.0.2,1125.9213869571686,0,1,0.0025944709777832,0.425,0.1,17,0.0,1.8962411465727215e-05,2,102,117,0.004028140392926496,13,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_0d3aaced_8_dropout=0.1000,hidden_size=17,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=102,supervised_2023-07-11_14-22-07"
5,0.475,1192.652940273285,False,,,1,12aa58de,2184f357db5b4645a5d964db830eba8a,2023-07-11_15-24-51,1689089091,1192.652940273285,62716,1465bae07e22,172.17.0.2,1192.652940273285,0,1,0.0028772354125976,0.475,0.0,13,0.0,0.0032726461880695414,2,161,103,0.002945521270259896,12,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_12aa58de_11_dropout=0,hidden_size=13,l1_reg=0.0000,l2_reg=0.0033,num_layers=2,opt_batch_per_epoch=161,supervised_bat_2023-07-11_15-04-58"
6,0.225,1469.0330271720886,False,,,1,15358267,2184f357db5b4645a5d964db830eba8a,2023-07-11_14-36-44,1689086204,1469.0330271720886,62716,1465bae07e22,172.17.0.2,1469.0330271720886,0,1,0.0028772354125976,0.225,0.0,13,0.0,0.0021203521789068713,2,137,123,0.0002518516663493083,12,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_15358267_7_dropout=0,hidden_size=13,l1_reg=0.0000,l2_reg=0.0021,num_layers=2,opt_batch_per_epoch=137,supervised_batc_2023-07-11_14-12-15"
7,0.3,1214.0408420562744,False,,,1,1acd673b,2184f357db5b4645a5d964db830eba8a,2023-07-11_17-56-52,1689098212,1214.0408420562744,62716,1465bae07e22,172.17.0.2,1214.0408420562744,0,1,0.0028772354125976,0.3,0.1,16,0.0,0.00019320214209463108,2,110,73,0.005746056809104634,6,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_1acd673b_26_dropout=0.1000,hidden_size=16,l1_reg=0.0000,l2_reg=0.0002,num_layers=2,opt_batch_per_epoch=110,supervise_2023-07-11_17-36-38"
8,0.25,1363.6697924137115,False,,,1,1b789d77,2184f357db5b4645a5d964db830eba8a,2023-07-11_18-19-36,1689099576,1363.6697924137115,62716,1465bae07e22,172.17.0.2,1363.6697924137115,0,1,0.0028772354125976,0.25,0.1,14,0.0,0.00039505250403100325,2,186,126,0.0034862374727580394,10,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_1b789d77_28_dropout=0.1000,hidden_size=14,l1_reg=0.0000,l2_reg=0.0004,num_layers=2,opt_batch_per_epoch=186,supervise_2023-07-11_17-56-52"
9,0.475,1028.1031267642977,False,,,1,22a022a7,b67513bb1e354d558911b5518951eb83,2023-07-11_21-54-26,1689112466,1028.1031267642977,62614,1465bae07e22,172.17.0.2,1028.1031267642977,0,1,0.0025944709777832,0.475,0.0,19,0.0,0.0005327510467003566,2,51,88,0.00470254368537321,14,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_22a022a7_48_dropout=0,hidden_size=19,l1_reg=0.0000,l2_reg=0.0005,num_layers=2,opt_batch_per_epoch=51,supervised_batc_2023-07-11_21-37-18"
